Lab_Name,Project,SiteName,Monitoring Location ID,Monitoring Location Latitude,Monitoring Location Longitude,Date,SampleType,SampleDepth,SampleZone,CollectionProcedure,Genus,Taxon,Division,NumberinStand,RankinStand,RelativeDensity,turalUnitsperML,CellperML,CellVolume_u3mL
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/27/2007,Total Plankton Sample,,Surface,Water column,Oocystis,Oocystis borgei,Chlorophyta,3,2,4.6,8.4,34,33600
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/27/2007,Total Plankton Sample,,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,296,1,91,828.8,829,663040
Rushforth Phycology,Utah Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,9/27/2007,Total Plankton Sample,,Surface,Water column,Scenedesmus,Scenedesmus species,Chlorophyta,2,4,1.2,5.6,22,8400
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Dolichospermum,Anabaena species,Cyanophyta,8,7,1.2,8,216,400000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Aphanizomenon,Aphanizomenon flos-aquae,Cyanophyta,1530,1,84.8,1530,93330,29070000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,60,10,0.1,60,60,42000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Ceratium,Ceratium hirundinella,Dinophyta,30,3,3.4,30,30,1167840
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Euglena,Euglena species,Euglenophyta,18,8,0.4,18,18,133200
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Gloeotrichia,Gloeotrichia echinulata,Cyanophyta,1,11,0.1,1,145,38528
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Gomphosphaeria,Gomphosphaeria lacustris,Cyanophyta,60,6,1.8,60,4080,600000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Pediastrum,Pediastrum duplex,Chlorophyta,12,5,1.9,12,504,653568
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Pediastrum,Pediastrum species,Chlorophyta,12,4,2.1,12,252,720000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,36,12,0.1,36,36,28800
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Phacus,Phacus species,Euglenophyta,24,9,0.4,24,24,120000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Scenedesmus,Scenedesmus quadricauda,Chlorophyta,144,2,3.8,144,576,1296000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Scenedesmus,Scenedesmus quadricauda var. maximus,Chlorophyta,36,14,0,36,144,36
Rushforth Phycology,Utah Clean Lakes and Reservoirs,UTAH LAKE 1 MILE WEST OF PROVO MARINA,4917390,40.23717289,-111.7646472,9/16/2013,Total Plankton Sample,.3 m.,Surface,Water column,Tetraedron,Tetraedron species,Chlorophyta,12,13,0,12,12,9600
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Ankistrodesmus,Ankistrodesmus falcatus,Chlorophyta,2,8,0,2,2,1570
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Centric diatom,centric diatoms,Bacillariophyta,9,6,0.1,9,9,6300
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Euglena,Euglena species,Euglenophyta,13,2,1.9,13,13,96200
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Gomphosphaeria,Gomphosphaeria lacustris,Cyanophyta,6,3,1.2,6,408,60000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Oocystis,Oocystis borgei,Chlorophyta,2,5,0.2,2,8,8000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Oscillatoria,Oscillatoria agardhii,Cyanophyta,974,1,95.6,974,55518,4870000
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Pennate diatom,pennate diatoms,Bacillariophyta,4,7,0.1,4,4,3200
Rushforth Phycology,Utah Clean Lakes and Reservoirs,Utah Lake 0.5 miles West of Geneva Discharge #15-A,4917310,40.32087284,-111.7775375,10/23/2013,Total Plankton Sample,.3 m.,Surface,Water column,Phacus,Phacus species,Euglenophyta,9,4,0.9,9,9,45000
